category,group,slug
Layout,Aspect Ratio,
Layout,Columns,
Layout,Break After,
Layout,Break Before,
Layout,Break Inside,
Layout,Box Decoration Break,
Layout,Box Sizing,
Layout,Display,
Layout,Floats,float
Layout,Clear,
Layout,Isolation,
Layout,Object Fit,
Layout,Object Position,
Layout,Overflow,
Layout,Overscroll Behavior,
Layout,Position,
Layout,Top / Right / Bottom / Left,top-right-bottom-left
Layout,Visibility,
Layout,Z-Index,
Flexbox & Grid,Flex Basis,
Flexbox & Grid,Flex Direction,
Flexbox & Grid,Flex Wrap,
Flexbox & Grid,Flex,
Flexbox & Grid,Flex Grow,
Flexbox & Grid,Flex Shrink,
Flexbox & Grid,Order,
Flexbox & Grid,Grid Template Columns,
Flexbox & Grid,Grid Column Start / End,grid-column
Flexbox & Grid,Grid Template Rows,
Flexbox & Grid,Grid Row Start / End,grid-row
Flexbox & Grid,Grid Auto Flow,
Flexbox & Grid,Grid Auto Columns,
Flexbox & Grid,Grid Auto Rows,
Flexbox & Grid,Gap,
Flexbox & Grid,Justify Content,
Flexbox & Grid,Justify Items,
Flexbox & Grid,Justify Self,
Flexbox & Grid,Align Content,
Flexbox & Grid,Align Items,
Flexbox & Grid,Align Self,
Flexbox & Grid,Place Content,
Flexbox & Grid,Place Items,
Flexbox & Grid,Place Self,
Spacing,Space Between,space
Spacing,Margin,
Spacing,Padding,
Sizing,Width,
Sizing,Min-Width,
Sizing,Max-Width,
Sizing,Height,
Sizing,Min-Height,
Sizing,Max-Height,
Sizing,Size,
Typography,Font Family,
Typography,Font Size,
Typography,Font Smoothing,
Typography,Font Style,
Typography,Font Weight,
Typography,Font Variant Numeric,
Typography,Letter Spacing,
Typography,Line Clamp,
Typography,Line Height,
Typography,List Style Image,
Typography,List Style Position,
Typography,List Style Type,
Typography,Text Align,
Typography,Text Color,
Typography,Text Decoration,
Typography,Text Decoration Color,
Typography,Text Decoration Style,
Typography,Text Decoration Thickness,
Typography,Text Underline Offset,
Typography,Text Transform,
Typography,Text Overflow,
Typography,Text Wrap,
Typography,Text Indent,
Typography,Vertical Align,
Typography,Whitespace,
Typography,Word Break,
Typography,Hyphens,
Typography,Content,
Backgrounds,Background Attachment,
Backgrounds,Background Clip,
Backgrounds,Background Color,
Backgrounds,Background Origin,
Backgrounds,Background Position,
Backgrounds,Background Repeat,
Backgrounds,Background Size,
Backgrounds,Background Image,
Backgrounds,Gradient Color Stops,
Borders,Border Radius,
Borders,Border Width,
Borders,Border Color,
Borders,Border Style,
Borders,Divide Width,
Borders,Divide Color,
Borders,Divide Style,
Borders,Outline Width,
Borders,Outline Color,
Borders,Outline Style,
Borders,Outline Offset,
Borders,Ring Width,
Borders,Ring Color,
Borders,Ring Offset Width,
Borders,Ring Offset Color,
Effects,Box Shadow,
Effects,Box Shadow Color,
Effects,Opacity,
Effects,Mix Blend Mode,
Effects,Background Blend Mode,
Filters,Blur,
Filters,Brightness,
Filters,Contrast,
Filters,Drop Shadow,
Filters,Grayscale,
Filters,Hue Rotate,
Filters,Invert,
Filters,Saturate,
Filters,Sepia,
Filters,Backdrop Blur,
Filters,Backdrop Brightness,
Filters,Backdrop Contrast,
Filters,Backdrop Grayscale,
Filters,Backdrop Hue Rotate,
Filters,Backdrop Invert,
Filters,Backdrop Opacity,
Filters,Backdrop Saturate,
Filters,Backdrop Sepia,
Tables,Border Collapse,
Tables,Border Spacing,
Tables,Table Layout,
Tables,Caption Side,
Transitions & Animation,Transition Property,
Transitions & Animation,Transition Duration,
Transitions & Animation,Transition Timing Function,
Transitions & Animation,Transition Delay,
Transitions & Animation,Animation,
Transforms,Scale,
Transforms,Rotate,
Transforms,Translate,
Transforms,Skew,
Transforms,Transform Origin,
Interactivity,Accent Color,
Interactivity,Appearance,
Interactivity,Cursor,
Interactivity,Caret Color,
Interactivity,Pointer Events,
Interactivity,Resize,
Interactivity,Scroll Behavior,
Interactivity,Scroll Margin,
Interactivity,Scroll Padding,
Interactivity,Scroll Snap Align,
Interactivity,Scroll Snap Stop,
Interactivity,Scroll Snap Type,
Interactivity,Touch Action,
Interactivity,User Select,
Interactivity,Will Change,
SVG,Fill,
SVG,Stroke,
SVG,Stroke Width,
Accessibility,Screen Readers,
Accessibility,Forced Color Adjust,
